reaction,split,not_high_yielding,high_yielding
"Ethyl 4-bromobutanoate and 7a-[(4-bromophenyl)methyl]-2-(3,5-dichloro-4-hydroxyphenyl)-6,7-dihydro-5h-pyrrolo[1,2-c]imidazole-1,3-dione react together in the presence of n,n-dimethylformamide, carbonate, potassium(1+) to produce ethyl 4-[4-[7a-[(4-bromophenyl)methyl]-1,3-dioxo-6,7-dihydro-5h-pyrrolo[1,2-c]imidazol-2-yl]-2,6-dichlorophenoxy]butanoate.",train,0,1
"2-[(4-ethoxycarbonylpyrazol-1-yl)methyl]-1,3-thiazole-4-carboxylic acid and 3-(trifluoromethyl)aniline react together to produce ethyl 1-[[4-[[3-(trifluoromethyl)phenyl]carbamoyl]-1,3-thiazol-2-yl]methyl]pyrazole-4-carboxylate.",train,0,1
"Ethyl 6-[4-(5-imidazol-1-ylpentoxy)phenoxy]-2,2-dimethylhexanoate reacts in the presence of methanol, oxidane, sodium(1+), hydroxide to produce 6-[4-(5-imidazol-1-ylpentoxy)phenoxy]-2,2-dimethylhexanoic acid.",train,0,1
"N-[3-[2-(4-amino-1,2,5-oxadiazol-3-yl)-1-(4-hydroxyphenyl)imidazo[4,5-c]pyridin-6-yl]oxyphenyl]acetamide and tert-butyl n-(2-hydroxyethyl)carbamate react together in the presence of 1,4-dioxane, oxidane, triphenylphosphane to produce n-[3-[1-[4-(2-aminoethoxy)phenyl]-2-(4-amino-1,2,5-oxadiazol-3-yl)imidazo[4,5-c]pyridin-6-yl]oxyphenyl]acetamide.",train,1,0
"6-phenyl-1,2,4-triazin-5-amine and 2-chloro-2-phenylacetyl chloride react together in the presence of n,n-diethylethanamine, 1,2-dichloroethane to produce 3,8-diphenylimidazo[1,2-d][1,2,4]triazin-2-ol.",train,1,0
"4-(methoxymethoxy)-2,3-dihydroinden-1-one and cyanoboranuide react together in the presence of acetic acid, ethanol, methanamine, oxidane, sodium(1+) to produce 4-(methoxymethoxy)-n-methyl-2,3-dihydro-1h-inden-1-amine.",train,1,0
"3-fluoro-n-[5-fluoro-2-(6-methoxynaphthalen-2-yl)phenyl]-4-(2-piperidin-1-ylethoxy)aniline reacts in the presence of 5-fluoro-2-(6-methoxynaphthalen-2-yl)aniline, 1-[2-(4-bromo-2-fluorophenoxy)ethyl]piperidine to produce 6-[4-fluoro-2-[3-fluoro-4-(2-piperidin-1-ylethoxy)anilino]phenyl]naphthalen-2-ol.",train,0,1
"1,2-diethoxyethane and 7-bromo-2-(3-fluoro-4-hydroxyphenyl)-1,3-benzoxazol-5-ol react together in the presence of dichloropalladium;tris(2-methylphenyl)phosphanium to produce 7-ethenyl-2-(3-fluoro-4-hydroxyphenyl)-1,3-benzoxazol-5-ol.",train,0,1
"3-methoxybenzoyl chloride and 3-[7-(aminomethyl)-3-oxo-1h-isoindol-2-yl]piperidine-2,6-dione react together in the presence of oxolane, n,n-diethylethanamine, chlorane to produce n-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3h-isoindol-4-yl]methyl]-3-methoxybenzamide.",train,0,1
"Ethyl 2-chloro-2-oxoacetate and 1-(5-chloro-2-methylphenyl)-3-methylthiourea react together in the presence of chloroform to produce 1-(5-chloro-2-methylphenyl)-3-methyl-2-sulfanylideneimidazolidine-4,5-dione.",train,0,1
"Benzyl (3s,4r)-4-fluoro-3-[(6-pyrazolo[1,5-a]pyridin-3-ylpyrazin-2-yl)amino]piperidine-1-carboxylate reacts in the presence of methanol, chlorane, oxidane to produce n-[(3s,4r)-4-fluoropiperidin-3-yl]-6-pyrazolo[1,5-a]pyridin-3-ylpyrazin-2-amine.",train,0,1
